Gene stable ID	Gene stable ID version	Gene name
ENSG00000172915	ENSG00000172915.20	NBEA
ENSG00000187323	ENSG00000187323.13	DCC
ENSG00000198354	ENSG00000198354.7	DCAF12L2
ENSG00000085185	ENSG00000085185.16	BCORL1
ENSG00000164796	ENSG00000164796.18	CSMD3
ENSG00000147889	ENSG00000147889.18	CDKN2A
ENSG00000099949	ENSG00000099949.23	LZTR1
ENSG00000171310	ENSG00000171310.11	CHST11
ENSG00000169083	ENSG00000169083.19	AR
ENSG00000171094	ENSG00000171094.18	ALK
ENSG00000168702	ENSG00000168702.18	LRP1B
ENSG00000066032	ENSG00000066032.19	CTNNA2
ENSG00000099956	ENSG00000099956.21	SMARCB1
ENSG00000138115	ENSG00000138115.16	CYP2C8
ENSG00000156052	ENSG00000156052.12	GNAQ
ENSG00000087088	ENSG00000087088.22	BAX
ENSG00000083857	ENSG00000083857.16	FAT1
ENSG00000109685	ENSG00000109685.20	NSD2
ENSG00000165323	ENSG00000165323.17	FAT3
ENSG00000128052	ENSG00000128052.11	KDR
ENSG00000140836	ENSG00000140836.17	ZFHX3
ENSG00000157613	ENSG00000157613.12	CREB3L1
ENSG00000185008	ENSG00000185008.19	ROBO2
ENSG00000157404	ENSG00000157404.18	KIT
ENSG00000138336	ENSG00000138336.10	TET1
ENSG00000066468	ENSG00000066468.25	FGFR2
ENSG00000129993	ENSG00000129993.15	CBFA2T3
ENSG00000186575	ENSG00000186575.21	NF2
ENSG00000144554	ENSG00000144554.14	FANCD2
ENSG00000131023	ENSG00000131023.14	LATS1
ENSG00000182944	ENSG00000182944.19	EWSR1
ENSG00000183454	ENSG00000183454.19	GRIN2A
ENSG00000051341	ENSG00000051341.16	POLQ
ENSG00000172409	ENSG00000172409.8	CLP1
ENSG00000175054	ENSG00000175054.17	ATR
ENSG00000116016	ENSG00000116016.15	EPAS1
ENSG00000070756	ENSG00000070756.18	PABPC1
ENSG00000163513	ENSG00000163513.21	TGFBR2
ENSG00000170759	ENSG00000170759.12	KIF5B
ENSG00000182158	ENSG00000182158.17	CREB3L2
ENSG00000125618	ENSG00000125618.19	PAX8
ENSG00000117713	ENSG00000117713.22	ARID1A
ENSG00000140538	ENSG00000140538.18	NTRK3
ENSG00000100311	ENSG00000100311.18	PDGFB
ENSG00000138592	ENSG00000138592.16	USP8
ENSG00000147862	ENSG00000147862.19	NFIB
ENSG00000066279	ENSG00000066279.20	ASPM
ENSG00000107485	ENSG00000107485.19	GATA3
ENSG00000139083	ENSG00000139083.12	ETV6
ENSG00000089280	ENSG00000089280.21	FUS
ENSG00000122778	ENSG00000122778.11	KIAA1549
ENSG00000123268	ENSG00000123268.10	ATF1
ENSG00000164398	ENSG00000164398.16	ACSL6
ENSG00000134250	ENSG00000134250.22	NOTCH2
ENSG00000213281	ENSG00000213281.6	NRAS
ENSG00000198793	ENSG00000198793.15	MTOR
ENSG00000181163	ENSG00000181163.15	NPM1
ENSG00000076685	ENSG00000076685.20	NT5C2
ENSG00000057657	ENSG00000057657.18	PRDM1
ENSG00000189079	ENSG00000189079.19	ARID2
ENSG00000111642	ENSG00000111642.17	CHD4
ENSG00000051382	ENSG00000051382.11	PIK3CB
ENSG00000121879	ENSG00000121879.7	PIK3CA
ENSG00000197013	ENSG00000197013.12	ZNF429
ENSG00000151702	ENSG00000151702.19	FLI1
ENSG00000108821	ENSG00000108821.15	COL1A1
ENSG00000118007	ENSG00000118007.14	STAG1
ENSG00000149311	ENSG00000149311.23	ATM
ENSG00000119772	ENSG00000119772.20	DNMT3A
ENSG00000198400	ENSG00000198400.15	NTRK1
ENSG00000162613	ENSG00000162613.19	FUBP1
ENSG00000081237	ENSG00000081237.23	PTPRC
